ts,hpa,replicas_atuais,replicas_desejadas,alvo_cpu
2026-09-19T15:16:11+00:00,audit-service,2,10,cpu:
2026-09-19T15:16:11+00:00,auth-service,2,10,cpu:
2026-09-19T15:16:11+00:00,consent-service,2,10,cpu:
2026-09-19T15:16:11+00:00,exam-service,2,10,cpu:
2026-09-19T15:16:11+00:00,history-service,2,10,cpu:
2026-09-19T15:16:11+00:00,lab-service,2,10,cpu:
2026-09-19T15:16:11+00:00,notification-service,2,10,cpu:
2026-09-19T15:16:11+00:00,patient-service,2,10,cpu:
2026-09-19T15:16:11+00:00,result-service,2,10,cpu:
2026-09-19T15:16:11+00:00,triage-service,2,10,cpu:
2026-09-19T15:16:19+00:00,audit-service,2,10,cpu:
2026-09-19T15:16:19+00:00,auth-service,2,10,cpu:
2026-09-19T15:16:19+00:00,consent-service,2,10,cpu:
2026-09-19T15:16:19+00:00,exam-service,2,10,cpu:
2026-09-19T15:16:19+00:00,history-service,2,10,cpu:
2026-09-19T15:16:19+00:00,lab-service,2,10,cpu:
2026-09-19T15:16:19+00:00,notification-service,2,10,cpu:
2026-09-19T15:16:19+00:00,patient-service,2,10,cpu:
2026-09-19T15:16:19+00:00,result-service,2,10,cpu:
2026-09-19T15:16:19+00:00,triage-service,2,10,cpu:
2026-09-19T15:16:25+00:00,audit-service,2,10,cpu:
2026-09-19T15:16:25+00:00,auth-service,2,10,cpu:
2026-09-19T15:16:25+00:00,consent-service,2,10,cpu:
2026-09-19T15:16:25+00:00,exam-service,2,10,cpu:
2026-09-19T15:16:25+00:00,history-service,2,10,cpu:
2026-09-19T15:16:25+00:00,lab-service,2,10,cpu:
2026-09-19T15:16:25+00:00,notification-service,2,10,cpu:
2026-09-19T15:16:25+00:00,patient-service,2,10,cpu:
2026-09-19T15:16:25+00:00,result-service,2,10,cpu:
2026-09-19T15:16:25+00:00,triage-service,2,10,cpu:
2026-09-19T15:16:31+00:00,audit-service,2,10,cpu:
2026-09-19T15:16:31+00:00,auth-service,2,10,cpu:
2026-09-19T15:16:31+00:00,consent-service,2,10,cpu:
2026-09-19T15:16:31+00:00,exam-service,2,10,cpu:
2026-09-19T15:16:31+00:00,history-service,2,10,cpu:
2026-09-19T15:16:31+00:00,lab-service,2,10,cpu:
2026-09-19T15:16:31+00:00,notification-service,2,10,cpu:
2026-09-19T15:16:31+00:00,patient-service,2,10,cpu:
2026-09-19T15:16:31+00:00,result-service,2,10,cpu:
2026-09-19T15:16:31+00:00,triage-service,2,10,cpu:
2026-09-19T15:16:39+00:00,audit-service,2,10,cpu:
2026-09-19T15:16:39+00:00,auth-service,2,10,cpu:
2026-09-19T15:16:39+00:00,consent-service,2,10,cpu:
2026-09-19T15:16:39+00:00,exam-service,2,10,cpu:
2026-09-19T15:16:39+00:00,history-service,2,10,cpu:
2026-09-19T15:16:39+00:00,lab-service,2,10,cpu:
2026-09-19T15:16:39+00:00,notification-service,2,10,cpu:
2026-09-19T15:16:39+00:00,patient-service,2,10,cpu:
2026-09-19T15:16:39+00:00,result-service,2,10,cpu:
2026-09-19T15:16:39+00:00,triage-service,2,10,cpu:
2026-09-19T15:16:45+00:00,audit-service,2,10,cpu:
2026-09-19T15:16:45+00:00,auth-service,2,10,cpu:
2026-09-19T15:16:45+00:00,consent-service,2,10,cpu:
2026-09-19T15:16:45+00:00,exam-service,2,10,cpu:
2026-09-19T15:16:45+00:00,history-service,2,10,cpu:
2026-09-19T15:16:45+00:00,lab-service,2,10,cpu:
2026-09-19T15:16:45+00:00,notification-service,2,10,cpu:
2026-09-19T15:16:45+00:00,patient-service,2,10,cpu:
2026-09-19T15:16:45+00:00,result-service,2,10,cpu:
2026-09-19T15:16:45+00:00,triage-service,2,10,cpu:
2026-09-19T15:16:50+00:00,audit-service,2,10,cpu:
2026-09-19T15:16:50+00:00,auth-service,2,10,cpu:
2026-09-19T15:16:50+00:00,consent-service,2,10,cpu:
2026-09-19T15:16:50+00:00,exam-service,2,10,cpu:
2026-09-19T15:16:50+00:00,history-service,2,10,cpu:
2026-09-19T15:16:50+00:00,lab-service,2,10,cpu:
2026-09-19T15:16:50+00:00,notification-service,2,10,cpu:
2026-09-19T15:16:50+00:00,patient-service,2,10,cpu:
2026-09-19T15:16:50+00:00,result-service,2,10,cpu:
2026-09-19T15:16:50+00:00,triage-service,2,10,cpu:
2026-09-19T15:16:58+00:00,audit-service,2,10,cpu:
2026-09-19T15:16:58+00:00,auth-service,2,10,cpu:
2026-09-19T15:16:58+00:00,consent-service,2,10,cpu:
2026-09-19T15:16:58+00:00,exam-service,2,10,cpu:
2026-09-19T15:16:58+00:00,history-service,2,10,cpu:
2026-09-19T15:16:58+00:00,lab-service,2,10,cpu:
2026-09-19T15:16:58+00:00,notification-service,2,10,cpu:
2026-09-19T15:16:58+00:00,patient-service,2,10,cpu:
2026-09-19T15:16:58+00:00,result-service,2,10,cpu:
2026-09-19T15:16:58+00:00,triage-service,2,10,cpu:
2026-09-19T15:17:04+00:00,audit-service,2,10,cpu:
2026-09-19T15:17:04+00:00,auth-service,2,10,cpu:
2026-09-19T15:17:04+00:00,consent-service,2,10,cpu:
2026-09-19T15:17:04+00:00,exam-service,2,10,cpu:
2026-09-19T15:17:04+00:00,history-service,2,10,cpu:
2026-09-19T15:17:04+00:00,lab-service,2,10,cpu:
2026-09-19T15:17:04+00:00,notification-service,2,10,cpu:
2026-09-19T15:17:04+00:00,patient-service,2,10,cpu:
2026-09-19T15:17:04+00:00,result-service,2,10,cpu:
2026-09-19T15:17:04+00:00,triage-service,2,10,cpu:
2026-09-19T15:17:10+00:00,audit-service,2,10,cpu:
2026-09-19T15:17:10+00:00,auth-service,2,10,cpu:
2026-09-19T15:17:10+00:00,consent-service,2,10,cpu:
2026-09-19T15:17:10+00:00,exam-service,2,10,cpu:
2026-09-19T15:17:10+00:00,history-service,2,10,cpu:
2026-09-19T15:17:10+00:00,lab-service,2,10,cpu:
2026-09-19T15:17:10+00:00,notification-service,2,10,cpu:
2026-09-19T15:17:10+00:00,patient-service,2,10,cpu:
2026-09-19T15:17:10+00:00,result-service,2,10,cpu:
2026-09-19T15:17:10+00:00,triage-service,2,10,cpu:
2026-09-19T15:17:17+00:00,audit-service,2,10,cpu:
2026-09-19T15:17:17+00:00,auth-service,2,10,cpu:
